Ventas;Marca;Genero;Categoria;Venta;Tienda
1;RS PERFORMANCE;HOMBRE;ZAPATO;890;Time out mall premier
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;Time out mall premier
1;RS PERFORMANCE;HOMBRE;ZAPATO;750;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;750;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;750;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;750;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;MUJER;ZAPATO;750;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;1015;TimeOut La Ceiba
1;RS PERFORMANCE;HOMBRE;ZAPATO;1015;TimeOut La Ceiba
1;RS PERFORMANCE;MUJER;ZAPATO;890;TIME OUT CITYMALL TEG
1;RS PERFORMANCE;MUJER;ZAPATO;890;TIME OUT CITYMALL TEG
1;RS PERFORMANCE;HOMBRE;ZAPATO;750;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;MUJER;ZAPATO;750;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;750;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;MUJER;ZAPATO;750;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;MUJER;ZAPATO;990;TimeOut Cascadas
1;RS PERFORMANCE;HOMBRE;ZAPATO;690;El Dorado
1;RS PERFORMANCE;HOMBRE;ZAPATO;690;El Dorado
1;RS PERFORMANCE;MUJER;ZAPATO;990;El Dorado
1;RS PERFORMANCE;HOMBRE;ZAPATO;690;El Dorado
1;RS PERFORMANCE;HOMBRE;ZAPATO;690;Time out mall premier
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;El Dorado
1;RS PERFORMANCE;HOMBRE;ZAPATO;790;El Dorado
1;RS PERFORMANCE;HOMBRE;ZAPATO;1015;TimeOut La Ceiba
1;RS PERFORMANCE;HOMBRE;ZAPATO;1015;TimeOut La Ceiba
