Alterno;Nombre;Ventas;Marca;Talla;Genero;Categoria;Venta;Tienda;Fecha de Venta;Nombre Comercial
A1OJD;T. LARCHMONT WP CHUKKA GAUCHO BROW A1OJD # 8.5;1;TIMBERLAND;8.5;HOMBRE;ZAPATO;2,790.00;TIMEOUT MEGAMALL SPS;23/7/2019;LARCHMONT 
A1N2T;T. KENDRICK CHUKKA TAN BROW A1N2T # 9;1;TIMBERLAND;9;HOMBRE;ZAPATO;3,051.50;TIME OUT CITYMALL TEG;23/7/2019;KENDRICK
A11MO;T. KEELE RIDGE BROW A11MO # 8.5;1;TIMBERLAND;8.5;HOMBRE;ZAPATO;2,590.00;TIME OUT CITYMALL TEG;23/7/2019;KEELE RIDGE
15130;T. CHOCORUA TRAIL BROW 15130 # 7.5;1;TIMBERLAND;7.5;HOMBRE;ZAPATO;2,887.50;Shoes Cascadas;24/7/2019;CHOCORUA
2730R;T. MT MADDSEN LTHR W DARK BROWN FULL 2730R # 8;1;TIMBERLAND;8;HOMBRE;ZAPATO;1,695.00;Shoes Cascadas;24/7/2019;MADDSEN
5557R;T. EK STORMBUCK DK BROWN 5557R # 9;1;TIMBERLAND;9;HOMBRE;ZAPATO;3,000.16;Shoes Cascadas;24/7/2019;STORMBUCK
A22NH;T. BRADST PT OX DK BRN A22NH # 9.5;1;TIMBERLAND;9.5;HOMBRE;ZAPATO;2,371.50;Shoes Cascadas;24/7/2019;BACKSTREET OXFORD
15130;T. CHOCORUA TRAIL BROW 15130 # 8;1;TIMBERLAND;8;HOMBRE;ZAPATO;3,850.00;Shoes Cascadas;24/7/2019;CHOCORUA
A1R16;Z.T GRAYDON LEATHER BRW A1R16 # 7.5;1;TIMBERLAND;7.5;HOMBRE;ZAPATO;2,425.00;TIME OUT CITYMALL TEG;24/7/2019;GRAYDON
9540A;T. MT MADDEN LOW BROW 9540A # 9;1;TIMBERLAND;9;HOMBRE;ZAPATO;2,390.00;Time Out Citymall SPS;24/7/2019;MADDSEN
A22NH;T. BRADST PT OX DK BRN A22NH # 7.5;1;TIMBERLAND;7.5;HOMBRE;ZAPATO;2,615.00;TimeOut La Ceiba;24/7/2019;BACKSTREET OXFORD
5552R;T. EK STORMBUCK DK OLIVE 5552R #10.5;1;TIMBERLAND;10.5;HOMBRE;ZAPATO;1,995.00;Timberland Multiplaza;24/7/2019;STORMBUCK
A22PD;T. BRADST PT CHKA DK BRN A22PD # 10;1;TIMBERLAND;10;HOMBRE;ZAPATO;2,990.00;Timberland Multiplaza;24/7/2019;BACKSTREET OXFORD
A1KJI;T. KENDRICK CHELSEA  BROW A1KJI # 11;1;TIMBERLAND;11;HOMBRE;ZAPATO;1,895.00;Timberland Multiplaza;24/7/2019;KENDRICK
2730R;T. MT MADDSEN LTHR W DARK BROWN FULL 2730R # 10.5;1;TIMBERLAND;10.5;HOMBRE;ZAPATO;2,881.50;Timberland Multiplaza;24/7/2019;MADDSEN
A1R29;Z.T CITY S EDGE WP BRW A1R29 # 11;1;TIMBERLAND;11;HOMBRE;ZAPATO;1,945.00;Timberland Multiplaza;24/7/2019;CITY S EDGE
A1QD4;Z.T SAWYER LANE WP BREW A1QD4 # 7.5;1;TIMBERLAND;7.5;HOMBRE;ZAPATO;2,990.00;Timberland Multiplaza;24/7/2019;SAWYER LANE
A11MO;T. KEELE RIDGE BROW A11MO # 8.5;1;TIMBERLAND;8.5;HOMBRE;ZAPATO;2,390.00;Timberland CITY MALL;24/7/2019;KEELE RIDGE
A11MO;T. KEELE RIDGE BROW A11MO # 8.5;1;TIMBERLAND;8.5;HOMBRE;ZAPATO;2,223.00;TimeOut La Ceiba;25/7/2019;KEELE RIDGE
A1IQH;T.STORMBUCK LITE PLAIN WOOD THRU BROW A1IQH # 7.5;1;TIMBERLAND;7.5;HOMBRE;ZAPATO;2,690.00;Timberland Multiplaza;25/7/2019;STORMBUCK
A14F4;T. EDGEMONT OXFORD BROW A14F4 # 11;1;TIMBERLAND;11;HOMBRE;ZAPATO;2,190.00;Time Out Multiplaza;25/7/2019;EDGEMONT OXFORD
A1TW9;T. BRADSTREET PT CHUKKA POTTING BRW A1TW9 # 7.5;1;TIMBERLAND;7.5;HOMBRE;ZAPATO;2,563.00;TimeOut Choluteca;25/7/2019;BRADSTREET
15130;T. CHOCORUA TRAIL BROW 15130 # 10.5;1;TIMBERLAND;10.5;HOMBRE;ZAPATO;3,294.00;TimeOut Choluteca;25/7/2019;CHOCORUA
9540A;T. MT MADDEN LOW BROW 9540A # 8.5;1;TIMBERLAND;8.5;HOMBRE;ZAPATO;2,265.00;TimeOut Metromall;25/7/2019;MADDSEN
TB010001;T.MENS 6IN PREM  DK BRW TB010001 # 8;1;TIMBERLAND;8;HOMBRE;ZAPATO;3,901.50;Shoes Cascadas;25/7/2019;CLASICOS
5423A;T.EKBRADST PTO DARK BROW 5423A # 8;1;TIMBERLAND;8;HOMBRE;ZAPATO;1,345.00;Shoes Cascadas;25/7/2019;BRADSTREET
A1PDS;T.BRACDSTREET BROW A1PDS  # 8;1;TIMBERLAND;8;HOMBRE;ZAPATO;2,990.00;Shoes Cascadas;25/7/2019;BRADSTREET
A1PDS;T.BRACDSTREET BROW A1PDS  # 9;1;TIMBERLAND;9;HOMBRE;ZAPATO;2,790.00;Time Out Citymall SPS;25/7/2019;BRADSTREET
12135;T.WHITE LEDGE BROWN 12135 #10;1;TIMBERLAND;10;HOMBRE;ZAPATO;2,990.00;Timberland Multiplaza;26/7/2019;CHOCORUA
A1JZU;T. KENDRICK CHUKKA POTTING SOIL BROWN A1JZU # 11;1;TIMBERLAND;11;HOMBRE;ZAPATO;1,795.00;Timberland Multiplaza;26/7/2019;KENDRICK
A14F4;T. EDGEMONT OXFORD BROW A14F4 # 7.5;1;TIMBERLAND;7.5;HOMBRE;ZAPATO;1,800.00;TimeOut Metromall;26/7/2019;EDGEMONT OXFORD
5557R;T. EK STORMBUCK DK BROWN 5557R # 10;1;TIMBERLAND;10;HOMBRE;ZAPATO;3,073.00;TimeOut Choluteca;26/7/2019;STORMBUCK
6905B;T. TRAIL WIND BROW 6905B # 9.5;1;TIMBERLAND;9.5;HOMBRE;ZAPATO;3,015.00;TimeOut Choluteca;26/7/2019;TRAIL WIND
A1MZX;T. KENDRICK SIDE ZIP BO TAN BROW A1MZX # 9;1;TIMBERLAND;9;HOMBRE;ZAPATO;4,115.00;TimeOut Choluteca;26/7/2019;KENDRICK
A1MZX;T. KENDRICK SIDE ZIP BO TAN BROW A1MZX # 11;1;TIMBERLAND;11;HOMBRE;ZAPATO;4,190.00;Timberland CITY MALL;26/7/2019;KENDRICK
A1PA2;Z.T. CHILMARK 6  BOOT DARK EARTH/BWN A1PA2 # 8.5;1;TIMBERLAND;8.5;HOMBRE;ZAPATO;3,731.50;Timberland CITY MALL;26/7/2019;CHILMARK 6  BOOT
2730R;T. MT MADDSEN LTHR W DARK BROWN FULL 2730R # 10;1;TIMBERLAND;10;HOMBRE;ZAPATO;2,881.50;TIME OUT CITYMALL TEG;26/7/2019;MADDSEN
12668;T. WHITE LEADGE BROWN 12668 # 8.5;1;TIMBERLAND;8.5;MUJER;ZAPATO;2,650.00;TIME OUT CITYMALL TEG;26/7/2019;CHOCORUA
A1R16;Z.T GRAYDON LEATHER BRW A1R16 # 11;1;TIMBERLAND;11;HOMBRE;ZAPATO;2,690.00;TIME OUT CITYMALL TEG;26/7/2019;GRAYDON
15130;T. CHOCORUA TRAIL BROW 15130 # 7.5;1;TIMBERLAND;7.5;HOMBRE;ZAPATO;1,925.00;Time out mall premier;26/7/2019;CHOCORUA
9540A;T. MT MADDEN LOW BROW 9540A # 7;1;TIMBERLAND;7;HOMBRE;ZAPATO;2,331.00;Time Out Citymall SPS;26/7/2019;MADDSEN
A11MO;T. KEELE RIDGE BROW A11MO # 11;1;TIMBERLAND;11;HOMBRE;ZAPATO;2,202.00;Time Out Citymall SPS;26/7/2019;KEELE RIDGE
A11MO;T. KEELE RIDGE BROW A11MO # 10;1;TIMBERLAND;10;HOMBRE;ZAPATO;2,390.00;Time Out Citymall SPS;26/7/2019;KEELE RIDGE
15551;"T.EK 6"" BROWN BURNISHED 15551 #9";1;TIMBERLAND;9;HOMBRE;ZAPATO;4,000.00;Time Out Citymall SPS;26/7/2019;EARTHKEEPERS
12135;T.WHITE LEDGE BROWN 12135 #10;1;TIMBERLAND;10;HOMBRE;ZAPATO;2,990.00;Shoes Cascadas;26/7/2019;CHOCORUA
A1IQH;T.STORMBUCK LITE PLAIN WOOD THRU BROW A1IQH # 10;1;TIMBERLAND;10;HOMBRE;ZAPATO;2,915.00;TimeOut La Ceiba;26/7/2019;STORMBUCK
5422A;T. EKBRADST PTC DARK BROWN OILED 5422A #10.5;1;TIMBERLAND;10.5;HOMBRE;ZAPATO;1,495.00;Timberland Multiplaza;26/7/2019;BRADSTREET
A10JF;Z.T LARCHMONT CHELSEA BRW A10JF # 10;1;TIMBERLAND;10;HOMBRE;ZAPATO;2,990.00;Timberland Multiplaza;26/7/2019;LARCHMONT 
12135;T.WHITE LEDGE BROWN 12135 #10;1;TIMBERLAND;10;HOMBRE;ZAPATO;2,990.00;Timberland Multiplaza;26/7/2019;CHOCORUA
12668;T. WHITE LEADGE BROWN 12668 # 8;1;TIMBERLAND;8;MUJER;ZAPATO;2,950.00;Time Out Multiplaza;27/7/2019;CHOCORUA
A163L;Z.T. KEELERDG WPLTR BROWN FULL A163L # 6.5;1;TIMBERLAND;6.5;MUJER;ZAPATO;2,541.50;Timberland Multiplaza;27/7/2019;KEELE RIDGE
5423A;T.EKBRADST PTO DARK BROW 5423A # 9.5;1;TIMBERLAND;9.5;HOMBRE;ZAPATO;2,690.00;Timberland Multiplaza;27/7/2019;BRADSTREET
A1JZU;T. KENDRICK CHUKKA POTTING SOIL BROWN A1JZU # 11;1;TIMBERLAND;11;HOMBRE;ZAPATO;3,590.00;Timberland Multiplaza;27/7/2019;KENDRICK
5423A;T.EKBRADST PTO DARK BROW 5423A # 10;1;TIMBERLAND;10;HOMBRE;ZAPATO;2,500.00;Timberland Multiplaza;27/7/2019;BRADSTREET
12668;T. WHITE LEADGE BROWN 12668 # 8;1;TIMBERLAND;8;MUJER;ZAPATO;2,507.50;Timberland Multiplaza;27/7/2019;CHOCORUA
A1QC0;Z.T SAWYER LANE WR BRW A1QC0 # 10.5;1;TIMBERLAND;10.5;HOMBRE;ZAPATO;1,595.00;Timberland Multiplaza;27/7/2019;SAWYER LANE
A1R1P;Z.T GRAYDON LEATHER BRW A1R1P # 10.5;1;TIMBERLAND;10.5;HOMBRE;ZAPATO;2,490.00;Timberland Multiplaza;27/7/2019;GRAYDON
A11MO;T. KEELE RIDGE BROW A11MO # 10;1;TIMBERLAND;10;HOMBRE;ZAPATO;2,390.00;TIME OUT CITYMALL TEG;27/7/2019;KEELE RIDGE
12668;T. WHITE LEADGE BROWN 12668 # 6.5;1;TIMBERLAND;6.5;MUJER;ZAPATO;2,585.00;Time Out Citymall SPS;27/7/2019;CHOCORUA
15130;T. CHOCORUA TRAIL BROW 15130 # 8;1;TIMBERLAND;8;HOMBRE;ZAPATO;3,550.00;Time Out Citymall SPS;27/7/2019;CHOCORUA
A1JZU;T. KENDRICK CHUKKA POTTING SOIL BROWN A1JZU # 11;1;TIMBERLAND;11;HOMBRE;ZAPATO;1,795.00;Time Out Citymall SPS;27/7/2019;KENDRICK
12135;T.WHITE LEDGE BROWN 12135 #7.5;1;TIMBERLAND;7.5;HOMBRE;ZAPATO;1,495.00;Time out mall premier;27/7/2019;CHOCORUA
15551;"T.EK 6"" BROWN BURNISHED 15551 #11";1;TIMBERLAND;11;HOMBRE;ZAPATO;2,145.00;Time out mall premier;27/7/2019;EARTHKEEPERS
15551;"T.EK 6"" BROWN BURNISHED 15551 #10.5";1;TIMBERLAND;10.5;HOMBRE;ZAPATO;2,145.00;TimeOut Metromall;27/7/2019;EARTHKEEPERS
15551;"T.EK 6"" BROWN BURNISHED 15551 #9";1;TIMBERLAND;9;HOMBRE;ZAPATO;3,517.80;Shoes Cascadas;27/7/2019;EARTHKEEPERS
12135;T.WHITE LEDGE BROWN 12135 #7.5;1;TIMBERLAND;7.5;HOMBRE;ZAPATO;1,495.00;Shoes Cascadas;27/7/2019;CHOCORUA
9540A;T. MT MADDEN LOW BROW 9540A # 9;1;TIMBERLAND;9;HOMBRE;ZAPATO;2,265.00;TimeOut Metromall;27/7/2019;MADDSEN
A1R29;Z.T CITY S EDGE WP BRW A1R29 # 10.5;1;TIMBERLAND;10.5;HOMBRE;ZAPATO;1,945.00;Shoes Cascadas;27/7/2019;CITY S EDGE
A1QDR;Z.T LAFAYETTE PARK BRW/PRPL A1QDR  # 8;1;TIMBERLAND;8;HOMBRE;ZAPATO;2,290.00;Shoes Cascadas;27/7/2019;LAFAYETTE
A1KBX;T. STORMBUCK LITE CHUKK WOOD THRU BRW A1KBX # 8;1;TIMBERLAND;8;HOMBRE;ZAPATO;1,595.00;Shoes Cascadas;27/7/2019;STORMBUCK
A1QD4;Z.T SAWYER LANE WP BREW A1QD4 # 9;1;TIMBERLAND;9;HOMBRE;ZAPATO;2,541.50;Timberland CITY MALL;27/7/2019;SAWYER LANE
2730R;T. MT MADDSEN LTHR W DARK BROWN FULL 2730R # 8;1;TIMBERLAND;8;HOMBRE;ZAPATO;1,695.00;Timberland CITY MALL;27/7/2019;MADDSEN
2730R;T. MT MADDSEN LTHR W DARK BROWN FULL 2730R # 7;1;TIMBERLAND;7;HOMBRE;ZAPATO;2,881.50;Timberland CITY MALL;27/7/2019;MADDSEN
A1N2T;T. KENDRICK CHUKKA TAN BROW A1N2T # 8;1;TIMBERLAND;8;HOMBRE;ZAPATO;3,615.00;TimeOut La Ceiba;27/7/2019;KENDRICK
A1KBX;T. STORMBUCK LITE CHUKK WOOD THRU BRW A1KBX # 9;1;TIMBERLAND;9;HOMBRE;ZAPATO;1,595.00;Timberland CITY MALL;27/7/2019;STORMBUCK
A1VWY;T. BRADSTREET PT OXFORD POTTING BRW A1VWY # 7.5;1;TIMBERLAND;7.5;HOMBRE;ZAPATO;2,201.50;Timberland CITY MALL;27/7/2019;BACKSTREET OXFORD
A1R16;Z.T GRAYDON LEATHER BRW A1R16 # 8;1;TIMBERLAND;8;HOMBRE;ZAPATO;2,286.50;Timberland CITY MALL;27/7/2019;GRAYDON
A1R1P;Z.T GRAYDON LEATHER BRW A1R1P # 10.5;1;TIMBERLAND;10.5;HOMBRE;ZAPATO;1,258.00;TimeOut Choluteca;27/7/2019;GRAYDON
A1N2T;T. KENDRICK CHUKKA TAN BROW A1N2T # 10;1;TIMBERLAND;10;HOMBRE;ZAPATO;3,073.00;TimeOut Choluteca;27/7/2019;KENDRICK
5557R;T. EK STORMBUCK DK BROWN 5557R # 10;1;TIMBERLAND;10;HOMBRE;ZAPATO;3,615.00;TimeOut La Ceiba;28/7/2019;STORMBUCK
2730R;T. MT MADDSEN LTHR W DARK BROWN FULL 2730R # 8.5;1;TIMBERLAND;8.5;HOMBRE;ZAPATO;2,712.00;Timberland Multiplaza;28/7/2019;MADDSEN
A1MZX;T. KENDRICK SIDE ZIP BO TAN BROW A1MZX # 9.5;1;TIMBERLAND;9.5;HOMBRE;ZAPATO;3,561.50;Timberland Multiplaza;28/7/2019;KENDRICK
A22PD;T. BRADST PT CHKA DK BRN A22PD # 10;1;TIMBERLAND;10;HOMBRE;ZAPATO;2,990.00;Timberland Multiplaza;28/7/2019;BACKSTREET OXFORD
A11MO;T. KEELE RIDGE BROW A11MO # 11;1;TIMBERLAND;11;HOMBRE;ZAPATO;2,390.05;Timberland Multiplaza;28/7/2019;KEELE RIDGE
A1TW9;T. BRADSTREET PT CHUKKA POTTING BRW A1TW9 # 9.5;1;TIMBERLAND;9.5;HOMBRE;ZAPATO;2,541.50;Timberland Multiplaza;28/7/2019;BRADSTREET
A1QD4;Z.T SAWYER LANE WP BREW A1QD4 # 7.5;1;TIMBERLAND;7.5;HOMBRE;ZAPATO;2,990.00;Timberland Multiplaza;28/7/2019;SAWYER LANE
A14F4;T. EDGEMONT OXFORD BROW A14F4 # 9;1;TIMBERLAND;9;HOMBRE;ZAPATO;2,190.00;Time Out Multiplaza;28/7/2019;EDGEMONT OXFORD
2730R;T. MT MADDSEN LTHR W DARK BROWN FULL 2730R # 7.5;1;TIMBERLAND;7.5;HOMBRE;ZAPATO;1,708.00;TimeOut Choluteca;28/7/2019;MADDSEN
15551;"T.EK 6"" BROWN BURNISHED 15551 #10.5";1;TIMBERLAND;10.5;HOMBRE;ZAPATO;2,158.00;TimeOut Choluteca;28/7/2019;EARTHKEEPERS
A14F4;T. EDGEMONT OXFORD BROW A14F4 # 9.5;1;TIMBERLAND;9.5;HOMBRE;ZAPATO;2,390.00;Time Out Citymall SPS;28/7/2019;EDGEMONT OXFORD
5423A;T.EKBRADST PTO DARK BROW 5423A # 9;1;TIMBERLAND;9;HOMBRE;ZAPATO;2,490.00;Time Out Citymall SPS;28/7/2019;BRADSTREET
A22NH;T. BRADST PT OX DK BRN A22NH # 9;1;TIMBERLAND;9;HOMBRE;ZAPATO;2,500.00;Time Out Citymall SPS;28/7/2019;BACKSTREET OXFORD
924339 801;T.N WNS FLEX  PNK/GRY 924339 801 # 7;1;NIKE;7;MUJER;ZAPATO;1,745.00;Time Out Multiplaza;1/7/2019;FLEX TRAINER
749794-010;T. NIKE MD RUNNER 2 BLK/WHT 749794-010 # 6.5;1;NIKE;6.5;HOMBRE;ZAPATO;2,190.00;Time Out Multiplaza;1/7/2019;MD RUNNER
191487 01;T.P ENZO WEAVE BLACK 191487 01 # 8;1;PUMA;8;HOMBRE;ZAPATO;1,990.00;Time Out Multiplaza;1/7/2019;ENZO
812654 011;T.N TANJUN BLACK/WHT 812654 011 # 9;1;NIKE;9;HOMBRE;ZAPATO;1,990.00;Time Out Multiplaza;1/7/2019;TANJUN
812655-011;T.N WMNS TANJUN BLK/WHT 812655 011 # 10;1;NIKE;10;MUJER;ZAPATO;1,990.00;Time Out Multiplaza;1/7/2019;TANJUN
360265 42;S.PUMA  POPCAT PURPLE 360265 42 # 6;1;PUMA;6;MUJER;SANDALIAS;750.00;Time Out Multiplaza;1/7/2019; SANDALIA POPCAT
AJ5903-003;T. NIKE RENEW ARENA  GRY/BRT AJ5903-003 # 7;1;NIKE;7;HOMBRE;ZAPATO;2,390.00;Time Out Multiplaza;1/7/2019;RENEW ARENA
369124 01;T.P ELECTRON STREET ENG 369124 01 # 9;1;PUMA;9;HOMBRE;ZAPATO;990.00;Time Out Multiplaza;1/7/2019;ELECTRON
192340 01;T.P RETALIATE BLK/WHT 192340 01 # 10.5;1;PUMA;10.5;HOMBRE;ZAPATO;990.00;Time out mall premier;1/7/2019;RETALIATE
843896-009;T. NIKE SB CHECK SOLAR BLK/BLK 843896-009 # 10.5;1;NIKE;10.5;HOMBRE;ZAPATO;1,490.00;Time out mall premier;1/7/2019;SB CHECK
BQ3198-100;T. NIKE TODOS WHT/BLK BQ3198-100 # 8;1;NIKE;8;HOMBRE;ZAPATO;1,790.00;Time out mall premier;1/7/2019;TODOS
016101 NVY;T. RS INTENSE NVY/BLK 016101 # 7;1;RS PERFORMANCE;7;HOMBRE;ZAPATO;890.00;Time out mall premier;1/7/2019;INTENSE
812655-011;T.N WMNS TANJUN BLK/WHT 812655 011 # 10;1;NIKE;10;MUJER;ZAPATO;1,990.00;Time out mall premier;1/7/2019;TANJUN
812655-011;T.N WMNS TANJUN BLK/WHT 812655 011 # 6.5;1;NIKE;6.5;MUJER;ZAPATO;1,990.00;Time out mall premier;1/7/2019;TANJUN
364629 01;T.P TSUGI NETFIT GREY 364629 01 # 7.5;1;PUMA;7.5;HOMBRE;ZAPATO;745.00;Time out mall premier;1/7/2019;TSUGI
599409-422;T. NIKE AIR MAX THEA NVY/PLT 599409-422 # 6.5;1;NIKE;6.5;MUJER;ZAPATO;2,590.00;Time out mall premier;1/7/2019;AIR MAX THEA
6347A;T. ABINGTON CAMP CHUKKA DARK 6347A #9.5;1;TIMBERLAND;9.5;HOMBRE;ZAPATO;500.00;Time out mall premier;1/7/2019;ABINGTON
A1SA2;T. FLYROAM GO KNIT OXFO BLACK A1SA2 # 7.5;1;TIMBERLAND;7.5;HOMBRE;ZAPATO;2,890.00;Time out mall premier;1/7/2019;FLYROAM
190949 16;T.PUMA DEFY WN´S PURPLE 190949 16 # 9;1;PUMA;9;MUJER;ZAPATO;1,290.00;Time out mall premier;1/7/2019;DEFY
AJ5908-013;T.N. FLEX EXPERIENCE 8 BLK/WHT AJ5908-013 # 8;1;NIKE;8;MUJER;ZAPATO;2,190.00;Time out mall premier;1/7/2019;FLEX EXPERIENCE
AR5339-001;N.W. AF1 SAGE LCE XX NGHT/PHNTM AR5339-001 # 8;1;NIKE;8;MUJER;ZAPATO;2,990.00;Time out mall premier;1/7/2019;AIR FORCE 1
365284 13;T.P PACER NEXT NAVY 365284 13 # 9;1;PUMA;9;HOMBRE;ZAPATO;1,490.00;Time out mall premier;1/7/2019;PACER 
916780 403;T.N CK RACER NAVY/WHITE 916780 403 # 10;1;NIKE;10;HOMBRE;ZAPATO;1,592.00;Time out mall premier;1/7/2019;CK RACER
AT1239-003;T. NIKE VARSITY COMPETE BLK/WHT AT1239-003 # 7;1;NIKE;7;HOMBRE;ZAPATO;2,390.00;Time out mall premier;1/7/2019;VARSITY
AJ5908-003;T. NIKE FLEX EXPERIENCE 8 PLT/PNK AJ5908-003 # 8;1;NIKE;8;MUJER;ZAPATO;2,190.00;TimeOut Metromall;1/7/2019;FLEX EXPERIENCE
369401 02;SANDALIA PUMA EPIC RED/NAV 369401 02 # 7;1;PUMA;7;HOMBRE;SANDALIAS;550.00;TimeOut Metromall;1/7/2019;SANDALIA EPIC FLIP
898479-001;T. NIKE FLEX TRAINER 7 BLK/MTLC 898479-001 # 8;1;NIKE;8;MUJER;ZAPATO;1,950.00;TimeOut Metromall;1/7/2019;FLEX TRAINER
369401 01;SANDALIA PUMA EPCI BLACK 369401 01 # 8;1;PUMA;8;HOMBRE;SANDALIAS;650.00;TimeOut Metromall;1/7/2019;SANDALIA EPIC FLIP
353572 11;T.PUMA ROMA BASIC BLACK 353572 11 # 9;1;PUMA;9;HOMBRE;ZAPATO;1,490.00;TimeOut Metromall;1/7/2019;ROMA
BQ3198-100;T. NIKE TODOS WHT/BLK BQ3198-100 # 8.5;1;NIKE;8.5;HOMBRE;ZAPATO;1,990.00;TimeOut Metromall;1/7/2019;TODOS
016101 BLK;T. RS INTENSE BLK 016101 # 7;1;RS PERFORMANCE;7;HOMBRE;ZAPATO;890.00;El Dorado;1/7/2019;INTENSE
631303 100;T.N STEFAN JANOSKI MAX WHITE/BLK 631303 100 # 10.5;1;NIKE;10.5;HOMBRE;ZAPATO;1,266.81;El Dorado;1/7/2019;STEFAN JANOSKI
015831 BLK;T. RS DAFY 2.5 ALL BLK 015831 # 9;1;RS PERFORMANCE;9;HOMBRE;ZAPATO;990.00;El Dorado;1/7/2019;DEFY
015831 NVY;T. RS DEFY 2.0 NAVY 015831 # 12;1;RS PERFORMANCE;12;HOMBRE;ZAPATO;890.00;El Dorado;1/7/2019;DEFY
015832 NVY;T. RS DEFY 2.5 NVY/FUCHSIA 015832 # 7;1;RS PERFORMANCE;7;MUJER;ZAPATO;890.00;El Dorado;1/7/2019;DEFY
A1JYM;Z.T BRADSTREET PT CHUKKA ATEEPLE GREY A1JYM # 8;1;TIMBERLAND;8;HOMBRE;ZAPATO;1,554.00;El Dorado;1/7/2019;BRADSTREET
315115 112;T.N AIR FORCE 1 WHITE 315115 112 # 6;1;NIKE;6;MUJER;ZAPATO;2,650.00;TIME OUT CITYMALL TEG;1/7/2019;AIR FORCE 1
AJ5911-400;T.NIKE FLEX CONTROL TR3 NVY/MTLC AJ5911-400 # 10;1;NIKE;10;HOMBRE;ZAPATO;2,190.00;TIME OUT CITYMALL TEG;1/7/2019;FLEX CONTROL
15631;T. WMNS CHOCORUA TRAIL BRN/DARK BROW 15631 #5.5;1;TIMBERLAND;5.5;MUJER;ZAPATO;3,590.00;TIME OUT CITYMALL TEG;28/7/2019;CHOCORUA
843895 001;T.N SB CHECK SOLAR BLCK 843895 001 # 8.5;1;NIKE;8.5;HOMBRE;ZAPATO;2,190.00;TIME OUT CITYMALL TEG;1/7/2019;SB CHECK
A1LH8;T. BRADSTREET OXFOR NAVY A1LH8 # 8.5;1;TIMBERLAND;8.5;HOMBRE;ZAPATO;2,390.00;TIME OUT CITYMALL TEG;1/7/2019;BRADSTREET
918356-006;T.N AIR MAX 97 UL '17 BLK/WHT 918356-006 # 11;1;NIKE;11;HOMBRE;ZAPATO;4,690.00;TIME OUT CITYMALL TEG;1/7/2019;AIR MAX 97
A1Z6G;T. FLYROAM GO KNIT OX BLK A1Z6G # 8.5;1;TIMBERLAND;8.5;HOMBRE;ZAPATO;2,890.00;TIME OUT CITYMALL TEG;1/7/2019;BROOKLYN
AJ5908-003;T. NIKE FLEX EXPERIENCE 8 PLT/PNK AJ5908-003 # 6;1;NIKE;6;MUJER;ZAPATO;2,190.00;TIME OUT CITYMALL TEG;1/7/2019;FLEX EXPERIENCE
7-37CMA00457A2;T.LACOSTE LEROND BL/WH/RD 7-37CMA00457A2 # 9;1;LACOSTE;9;HOMBRE;ZAPATO;2,590.00;TIME OUT CITYMALL TEG;1/7/2019;LEROND
880840-001;T. NIKE WMNS FREE RN 2 BLK/WHT 880840-001 # 9;1;NIKE;9;MUJER;ZAPATO;2,390.00;TIME OUT CITYMALL TEG;1/7/2019;FREE RN
343880 100;SANDA NIKE BENASSI BLK/WHT 343880 100 # 9;1;NIKE;9;HOMBRE;SANDALIAS;990.00;TIME OUT CITYMALL TEG;1/7/2019;BENASSI
BQ3198-100;T. NIKE TODOS WHT/BLK BQ3198-100 # 10;1;NIKE;10;HOMBRE;ZAPATO;1,790.00;TIME OUT CITYMALL TEG;1/7/2019;TODOS
631261-024;T.S BENASSI JDI PRINT BLK/WHT 631261-024 # 8;1;NIKE;8;HOMBRE;SANDALIAS;950.00;TIME OUT CITYMALL TEG;1/7/2019;BENASSI
BQ3198-100;T. NIKE TODOS WHT/BLK BQ3198-100 # 7.5;1;NIKE;7.5;HOMBRE;ZAPATO;1,790.00;TIME OUT CITYMALL TEG;1/7/2019;TODOS
812654 001;T.N TANJUN BLK 812654 001 # 8.5;1;NIKE;8.5;HOMBRE;ZAPATO;2,000.00;Time Out Citymall SPS;1/7/2019;TANJUN
AA2181-007;T. NIKE VIALE COOL GREY/RED AA2181-007 # 12;1;NIKE;12;HOMBRE;ZAPATO;1,862.00;Time Out Citymall SPS;1/7/2019;VIALE
12135;T.WHITE LEDGE BROWN 12135 #7;1;TIMBERLAND;7;HOMBRE;ZAPATO;2,541.50;TIME OUT CITYMALL TEG;28/7/2019;CHOCORUA
A14F4;T. EDGEMONT OXFORD BROW A14F4 # 8.5;1;TIMBERLAND;8.5;HOMBRE;ZAPATO;2,031.50;TIME OUT CITYMALL TEG;28/7/2019;EDGEMONT OXFORD
A14F4;T. EDGEMONT OXFORD BROW A14F4 # 7.5;1;TIMBERLAND;7.5;HOMBRE;ZAPATO;2,190.00;TIME OUT CITYMALL TEG;28/7/2019;EDGEMONT OXFORD
843895 001;T.N SB CHECK SOLAR BLCK 843895 001 # 9.5;1;NIKE;9.5;HOMBRE;ZAPATO;1,990.00;Time Out Citymall SPS;1/7/2019;SB CHECK
A1LU4;Z.T. 6  PREMIUM BOOT MIDNIGHT NVY A1LU4 # 8;1;TIMBERLAND;8;HOMBRE;ZAPATO;4,590.00;Time Out Citymall SPS;1/7/2019;PREMIUM BOOT
