Alterno;Nombre;Ventas;Marca;Talla;Genero;Categoria;Venta;Tienda;Fecha de Venta;Nombre Comercial
A163L;Z.T. KEELERDG WPLTR BROWN FULL A163L # 7;1;TIMBERLAND;7;MUJER;ZAPATO;2,990.00;Time Out Citymall SPS;3/7/2019;KEELE RIDGE
12135;T.WHITE LEDGE BROWN 12135 #9;1;TIMBERLAND;9;HOMBRE;ZAPATO;2,500.00;Time Out Citymall SPS;3/7/2019;CHOCORUA
5423A;T.EKBRADST PTO DARK BROW 5423A # 8.5;1;TIMBERLAND;8.5;HOMBRE;ZAPATO;2,515.00;TimeOut La Ceiba;3/7/2019;BRADSTREET
A1NDI;T. KENDRICK CAP TOE OXF TAN BROW A1NDI # 10;1;TIMBERLAND;10;HOMBRE;ZAPATO;3,315.00;TimeOut La Ceiba;3/7/2019;KENDRICK
A1IQH;T.STORMBUCK LITE PLAIN WOOD THRU BROW A1IQH # 10;1;TIMBERLAND;10;HOMBRE;ZAPATO;2,690.00;Timberland Multiplaza;3/7/2019;STORMBUCK
6905B;T. TRAIL WIND BROW 6905B # 8.5;1;TIMBERLAND;8.5;HOMBRE;ZAPATO;2,790.00;Timberland Multiplaza;3/7/2019;TRAIL WIND
A1JZU;T. KENDRICK CHUKKA POTTING SOIL BROWN A1JZU # 10;1;TIMBERLAND;10;HOMBRE;ZAPATO;3,290.00;Timberland Multiplaza;3/7/2019;KENDRICK
5557R;T. EK STORMBUCK DK BROWN 5557R # 7.5;1;TIMBERLAND;7.5;HOMBRE;ZAPATO;3,290.00;Timberland Multiplaza;3/7/2019;STORMBUCK
5423A;T.EKBRADST PTO DARK BROW 5423A # 7.5;1;TIMBERLAND;7.5;HOMBRE;ZAPATO;2,286.50;Time Out Multiplaza;3/7/2019;BRADSTREET
A1R1P;Z.T GRAYDON LEATHER BRW A1R1P # 8;1;TIMBERLAND;8;HOMBRE;ZAPATO;2,116.50;Shoes Cascadas;4/7/2019;GRAYDON
5557R;T. EK STORMBUCK DK BROWN 5557R # 8.5;1;TIMBERLAND;8.5;HOMBRE;ZAPATO;3,590.00;Shoes Cascadas;4/7/2019;STORMBUCK
5557R;T. EK STORMBUCK DK BROWN 5557R # 8;1;TIMBERLAND;8;HOMBRE;ZAPATO;2,979.70;Shoes Cascadas;4/7/2019;STORMBUCK
6905B;T. TRAIL WIND BROW 6905B # 10.5;1;TIMBERLAND;10.5;HOMBRE;ZAPATO;2,990.00;Shoes Cascadas;4/7/2019;TRAIL WIND
2730R;T. MT MADDSEN LTHR W DARK BROWN FULL 2730R # 9;1;TIMBERLAND;9;HOMBRE;ZAPATO;3,215.00;TimeOut La Ceiba;4/7/2019;MADDSEN
A1N2T;T. KENDRICK CHUKKA TAN BROW A1N2T # 8.5;1;TIMBERLAND;8.5;HOMBRE;ZAPATO;3,590.00;Timberland Multiplaza;4/7/2019;KENDRICK
15130;T. CHOCORUA TRAIL BROW 15130 # 8.5;1;TIMBERLAND;8.5;HOMBRE;ZAPATO;3,850.00;Timberland Multiplaza;4/7/2019;CHOCORUA
18128;T. FLUME MID DK BROMW 18128  #8;1;TIMBERLAND;8;HOMBRE;ZAPATO;3,150.00;Timberland Multiplaza;4/7/2019;CHOCORUA
A1K7U;T. WALDEN CHUKKA  BROW A1K7U # 8.5;1;TIMBERLAND;8.5;HOMBRE;ZAPATO;2,590.00;Timberland Multiplaza;4/7/2019;WALDEN
5557R;T. EK STORMBUCK DK BROWN 5557R # 11;1;TIMBERLAND;11;HOMBRE;ZAPATO;3,590.00;Timberland Multiplaza;4/7/2019;STORMBUCK
A1U4H;T. SQUALL CANYON PT OXF COPPER BRW A1U4H # 10.5;1;TIMBERLAND;10.5;HOMBRE;ZAPATO;2,690.00;Timberland Multiplaza;4/7/2019;SQUALL CANYON 
